date,open,high,low,close,volume
2026-06-17,94000.00,94280.00,93650.00,94000.00,850
2026-06-18,94157.21,94524.64,93839.39,94185.74,862
2026-06-19,94314.56,94712.33,94005.43,94368.68,874
2026-06-20,94472.00,94836.01,94122.70,94546.13,886
2026-06-21,94629.10,95048.56,94303.34,94715.58,898
2026-06-22,94784.90,95221.95,94485.05,94874.82,910
2026-06-23,94937.92,95321.56,94590.70,95022.00,922
2026-06-24,95086.10,95481.66,94753.33,95155.67,934
2026-06-25,95227.03,95624.16,94936.84,95274.91,946
2026-06-26,95358.01,95688.11,95014.23,95379.26,958
2026-06-27,95476.40,95794.48,95130.09,95468.82,970
2026-06-28,95579.83,95929.83,95263.91,95544.22,982
2026-06-29,95666.55,95984.11,95267.50,95606.57,994
2026-06-30,95735.61,96045.02,95313.93,95657.45,1006
2026-07-01,95787.13,96136.47,95409.29,95698.86,1018
2026-07-02,95822.40,96147.92,95399.94,95733.12,1030
2026-07-03,95843.89,96144.04,95415.77,95762.81,1042
2026-07-04,95855.19,96202.49,95491.41,95790.67,1054
2026-07-05,95860.82,96193.39,95493.30,95819.52,1066
2026-07-06,95865.94,96156.44,95502.92,95852.13,1078
2026-07-07,95876.04,96235.03,95567.47,95891.12,1090
2026-07-08,95896.49,96277.49,95578.15,95938.93,1102
2026-07-09,95932.23,96278.26,95582.23,95997.64,1114
2026-07-10,95987.34,96408.21,95670.04,96068.97,1126
2026-07-11,96064.75,96497.58,95755.06,96154.19,1138
2026-07-12,96166.04,96543.32,95816.66,96254.06,1150
2026-07-13,96291.32,96702.21,95966.04,96368.83,1162
2026-07-14,96439.23,96845.19,96138.78,96498.24,1174
2026-07-15,96607.05,96940.44,96259.67,96641.48,1186
2026-07-16,96790.98,97123.72,96458.61,96797.27,1198
2026-07-17,96986.36,97335.53,96673.07,96963.87,1210
2026-07-18,97188.12,97496.41,96795.13,97139.16,1222
2026-07-19,97391.10,97709.70,96982.33,97320.73,1234
2026-07-20,97590.45,97940.44,97224.99,97505.92,1246
2026-07-21,97781.92,98098.95,97352.55,97691.95,1258
2026-07-22,97962.14,98272.11,97532.76,97876.02,1270
2026-07-23,98128.79,98478.21,97766.44,98055.40,1282
2026-07-24,98280.59,98605.64,97893.93,98227.51,1294
2026-07-25,98417.34,98718.09,98043.18,98390.03,1306
2026-07-26,98539.72,98888.47,98241.06,98541.01,1318
2026-07-27,98649.12,99011.03,98322.44,98678.87,1330
2026-07-28,98747.38,99093.62,98398.26,98802.52,1342
2026-07-29,98836.51,99255.52,98528.52,98911.36,1354
2026-07-30,98918.50,99343.56,98599.65,99005.33,1366
2026-07-31,98995.04,99366.14,98645.05,99084.90,1378
2026-08-01,99067.41,99490.59,98750.64,99151.03,1390
2026-08-02,99136.42,99548.29,98826.17,99205.17,1402
2026-08-03,99202.41,99537.84,98852.94,99249.19,1414
2026-08-04,99265.34,99619.12,98940.53,99285.34,1426
2026-08-05,99324.97,99671.74,99015.08,99316.12,1438
2026-08-06,99381.03,99679.40,98996.70,99344.24,1450
2026-08-07,99433.43,99760.35,99040.55,99372.50,1462
2026-08-08,99482.47,99831.54,99112.28,99403.69,1474
2026-08-09,99529.01,99836.73,99096.22,99440.50,1486
2026-08-10,99574.53,99893.64,99147.37,99485.42,1498
2026-08-11,99621.17,99971.15,99259.10,99540.65,1510
2026-08-12,99671.64,99988.15,99268.30,99608.03,1522
2026-08-13,99729.11,100039.64,99345.97,99688.96,1534
2026-08-14,99796.92,100146.42,99496.03,99784.37,1546
2026-08-15,99878.31,100219.24,99544.34,99894.67,1558
2026-08-16,99976.17,100321.07,99629.50,100019.73,1570
2026-08-17,100092.64,100506.55,99794.57,100158.92,1582
2026-08-18,100228.93,100642.84,99901.79,100311.10,1594
2026-08-19,100385.08,100766.37,100036.07,100474.65,1606
2026-08-20,100559.84,100991.98,100252.41,100647.57,1618
2026-08-21,100750.67,101165.40,100431.30,100827.52,1630
2026-08-22,100953.87,101293.77,100603.90,101011.91,1642
2026-08-23,101164.75,101537.87,100848.50,101197.98,1654
2026-08-24,101377.93,101725.80,101067.12,101382.94,1666
2026-08-25,101587.75,101875.78,101214.47,101564.01,1678
2026-08-26,101788.59,102122.77,101414.23,101738.56,1690
2026-08-27,101975.36,102321.94,101602.56,101904.19,1702
2026-08-28,102143.79,102441.56,101711.12,102058.83,1714
2026-08-29,102290.76,102618.14,101869.24,102200.77,1726
2026-08-30,102414.52,102763.48,102036.76,102328.78,1738
2026-08-31,102514.75,102821.89,102097.59,102442.11,1750
2026-09-01,102592.58,102912.21,102202.83,102540.54,1762
2026-09-02,102650.44,103000.41,102342.19,102624.36,1774
2026-09-03,102691.83,103010.37,102351.78,102694.40,1786
2026-09-04,102419.04,102761.09,102076.33,102450.00,1798
